"Variable","Label","Data_Type","Length","Controlled_Terms","Core","Notes"
"STUDYID","Study Identifier","text",20,"","Req",""
"STUDYIDN","Study Identifier (N)","integer",8,"","","Numeric version"
"SITEID","Study Site Identifier","text",10,"","",""
"SITEIDN","Study Site Identifier (N)","integer",8,"","","Numeric version"
"USUBJID","Unique Subject Identifier","text",40,"","Req",""
"USUBJIDN","Unique Subject Identifier (N)","integer",8,"","","Numeric version"
"SUBJID","Subject Identifier for the Study","text",20,"","Req",""
"SUBJIDN","Subject Identifier (N)","integer",8,"","","Numeric version"
"AGE","Age","integer",8,"","","Years"
"SEX","Sex","text",1,"(SEX)","","M, F, U"
"SEXN","Sex (N)","integer",8,"","","1=M, 2=F, 3=U"
"RACE","Race","text",40,"(RACE)","",""
"RACEN","Race (N)","integer",8,"","","1-6 coded"
"ETHNIC","Ethnicity","text",40,"(ETHNIC)","",""
"ETHNICN","Ethnicity (N)","integer",8,"","","1-3 coded"
"COHORT","Cohort","integer",8,"","","Treatment group number"
"COHORTC","Cohort (C)","text",40,"","","Treatment group description"
"ARMN","Planned Arm (N)","integer",8,"","","0-3 coded"
"ACTARMN","Actual Arm (N)","integer",8,"","","0-3 coded"
"ROUTE","Route of Administration","text",40,"(ROUTE)","",""
"ROUTEN","Route of Administration (N)","integer",8,"","",""
"FORM","Dosage Form","text",40,"(FRM)","",""
"FORMN","Dosage Form (N)","integer",8,"","",""
"COUNTRY","Country","text",3,"(COUNTRY)","","ISO 3-char code"
"COUNTRYN","Country (N)","integer",8,"","","Numeric code"
"COUNTRYL","Country Name","text",40,"","","Full country name"
"OS","Overall Survival (Days)","float",8,"","","Time to death/censor"
"OSIND","Overall Survival Event Indicator","integer",8,"","","1=event, 0=censored"
"PFS","Progression-Free Survival (Days)","float",8,"","","Time to progression/death"
"PFSIND","PFS Event Indicator","integer",8,"","","1=event, 0=censored"
"BOR","Best Overall Response","text",8,"(OVRLRESP)","","CR, PR, SD, PD"
"WTBL","Baseline Weight (kg)","float",8,"","",""
"HTBL","Baseline Height (cm)","float",8,"","",""
"BMIBL","Baseline BMI (kg/m^2)","float",8,"","","Computed from WTBL, HTBL"
"BSABL","Baseline BSA (m^2)","float",8,"","","Mosteller formula"
"CREATBL","Baseline Serum Creatinine (mg/dL)","float",8,"","",""
"CRCLBL","Baseline Creatinine Clearance (mL/min)","float",8,"","","Cockcroft-Gault"
"EGFRBL","Baseline eGFR (mL/min/1.73m^2)","float",8,"","","CKD-EPI equation"
"ALTBL","Baseline ALT (U/L)","float",8,"","",""
"ASTBL","Baseline AST (U/L)","float",8,"","",""
"TBILBL","Baseline Total Bilirubin (mg/dL)","float",8,"","",""
